@timestamp,objId,rsctypeId,TEMPERATURE1,TEMPERATURE,HUMIDITY1,HUMIDITY
2025-03-27T00:10:17.293Z,200,FTH,19.27,22.88,40.64,33.64
2025-03-27T00:10:17.333Z,201,FTH,19.55,21.43,40.8,36.62
2025-03-27T00:10:18.292Z,196,FTH,20.19,27.24,39.32,26.97
2025-03-27T00:10:21.362Z,23,FTH,18.55,21.92,42.55,33.25
2025-03-27T00:10:22.337Z,202,FTH,19.82,21.59,40.21,36.33
2025-03-27T00:10:23.337Z,199,FTH,19.16,20.09,41.37,39.13
2025-03-27T00:10:38.449Z,192,FTH,19.29,26.94,41.74,26.97
2025-03-27T00:10:39.441Z,194,FTH,18.19,27.09,44.19,27.17
2025-03-27T00:10:44.460Z,20,FTH,21.26,31.73,36.9,17.63
2025-03-27T00:10:44.464Z,21,FTH,25.26,28.33,30.45,22.51
2025-03-27T00:10:44.468Z,203,FTH,18.47,21.09,43.82,37.05
2025-03-27T00:10:44.471Z,208,FTH,21.2,25.56,37.58,28.73
2025-03-27T00:10:49.528Z,24,FTH,20.61,25.08,38.85,27.1
2025-03-27T00:10:49.532Z,191,FTH,22.6,28.43,34.59,25.61
2025-03-27T00:10:55.547Z,204,FTH,19.33,29.15,40.87,23.91
2025-03-27T00:11:00.615Z,22,FTH,17.17,24.33,47.48,28.96
2025-03-27T00:11:05.642Z,206,FTH,19.7,24.18,40.78,30.74
2025-03-27T00:11:06.634Z,25,FTH,22.55,25.24,35.07,26.69
2025-03-27T00:11:06.638Z,197,FTH,19.03,21.54,41.32,36.39
2025-03-27T00:11:06.645Z,205,FTH,19.34,21.65,41.87,35.62
2025-03-27T00:11:06.649Z,207,FTH,20.8,21.54,38.48,36.77
2025-03-27T00:11:11.697Z,193,FTH,18.19,26.29,44.16,28.25
2025-03-27T00:11:11.701Z,195,FTH,20.3,27.92,39.52,26.1
2025-03-27T00:11:17.717Z,198,FTH,19.15,20.92,40.9,37.46
2025-03-27T00:11:17.721Z,200,FTH,19.42,22.88,40.54,33.67
2025-03-27T00:11:17.725Z,201,FTH,19.74,21.43,40.42,36.74
2025-03-27T00:11:18.719Z,196,FTH,20.19,27.22,39.24,26.92
2025-03-27T00:11:21.760Z,23,FTH,18.55,21.95,42.67,33.28
2025-03-27T00:11:22.743Z,202,FTH,19.95,21.58,40.07,36.38
2025-03-27T00:11:23.748Z,199,FTH,19.55,20.15,40.8,39.15
2025-03-27T00:11:38.892Z,192,FTH,19.33,26.91,41.62,26.98
2025-03-27T00:11:39.881Z,194,FTH,18.18,27.11,44.2,27.15
2025-03-27T00:11:44.921Z,20,FTH,21.2,31.7,36.96,17.74
2025-03-27T00:11:44.925Z,21,FTH,25.27,28.34,30.29,22.56
2025-03-27T00:11:44.929Z,203,FTH,19.68,21.25,41.4,36.84
2025-03-27T00:11:44.932Z,208,FTH,21.15,25.53,37.66,28.77
2025-03-27T00:11:49.971Z,24,FTH,20.57,25.07,38.79,27.12
2025-03-27T00:11:49.975Z,191,FTH,22.6,28.43,34.57,25.57
2025-03-27T00:11:55.995Z,204,FTH,19.9,29.18,39.87,23.91
2025-03-27T00:12:01.069Z,22,FTH,17.15,24.34,47.84,28.92
2025-03-27T00:12:06.122Z,206,FTH,20.14,24.17,40.1,30.78
2025-03-27T00:12:07.080Z,25,FTH,22.54,25.26,35.07,26.63
2025-03-27T00:12:07.084Z,197,FTH,19.7,21.59,40.01,36.35
2025-03-27T00:12:07.100Z,205,FTH,19.85,21.69,40.97,35.57
2025-03-27T00:12:07.103Z,207,FTH,20.8,21.51,38.47,36.8
2025-03-27T00:12:12.143Z,193,FTH,18.16,26.28,44.31,28.21
